J'  k'     J"  k"  s' s"   OBS/CM-1    CALC/CM-1  OBS-CALC/CM-1  WEIGHT      UNC/CM-1        OBS/MHZ        CALC/MHZ    OBS-CALC/MHZ
 1   0      0   0    a s    10.337468    10.337462    0.000006   0.899E+11    0.00000334     309909.490      309909.302       0.188   
 1   0      0   0    s a    10.231635    10.231630    0.000006   0.225E+11    0.00000667     306736.710      306736.543       0.167   
 2   0      0   0    a a    30.848680    30.848397    0.000283   0.313E+07    0.00056569     924820.160      924811.665       8.496   
 2   0      0   0    s s    30.849293    30.849428   -0.000135   0.313E+07    0.00056569     924838.538      924842.596      -4.058   
 2   0      0   0    a a    30.847533    30.848397   -0.000864   0.313E+07    0.00056569     924785.774      924811.665     -25.891   
 2   0      0   0    s s    30.849400    30.849428   -0.000028   0.500E+06    0.00141421     924841.745      924842.596      -0.850   
 2   0      0   0    s s    30.849400    30.849428   -0.000028   0.500E+06    0.00141421     924841.745      924842.596      -0.850   
 2   0      0   0    s s    30.849860    30.849428    0.000432   0.500E+06    0.00141421     924855.536      924842.596      12.940   
 2   0      0   0    a a    30.848443    30.848397    0.000046   0.313E+07    0.00056569     924813.055      924811.665       1.390   
 2   0      0   0    a a    30.847150    30.848397   -0.001247   0.500E+06    0.00141421     924774.292      924811.665     -37.373   
 2   0      0   0    s s    30.849650    30.849428    0.000222   0.500E+06    0.00141421     924849.240      924842.596       6.644   
 2   0      0   0    s s    30.848165    30.849428   -0.001263   0.313E+07    0.00056569     924804.721      924842.596     -37.875   
 2   0      0   0    s s    30.849543    30.849428    0.000115   0.313E+07    0.00056569     924846.032      924842.596       3.437   
 2   0      0   0    a a    30.849140    30.848397    0.000743   0.500E+06    0.00141421     924833.951      924811.665      22.286   
 2   0      1   0    a s    20.616764    20.616767   -0.000003   0.144E+11    0.00000834     618075.040      618075.122      -0.082   
 2   0      1   0    s a    20.511972    20.511967    0.000006   0.225E+11    0.00000667     614933.460      614933.294       0.166   
 3   0      1   0    a a    51.397698    51.398275   -0.000577   0.313E+07    0.00056569    1540864.222     1540881.532     -17.310   
