     JU  KU  U    JL  KL   L     OBS/CM-1      UNC/CM-1   
      1   1  1     1   1   0     0.053004     0.00000067  
      2   1  1     2   1   0     0.052315     0.00000067 
      2   2  1     2   2   0     0.053093     0.00000033
      3   1  1     3   1   0     0.051299     0.00000067
      3   2  1     3   2   0     0.052062     0.00000033
      3  -3  1     3   3   0     0.053358     0.00000033
      3   3  1     3  -3   0     0.053360     0.00000033
      4   1  1     4   1   0     0.049977     0.00000067
      4   2  1     4   2   0     0.050720     0.00000033
      4   3  1     4  -3   0     0.051989     0.00000033
      4  -3  1     4   3   0     0.051975     0.00000033
      4   4  1     4   4   0     0.053804     0.00000033
      5   2  1     5   2   0     0.049093     0.00000033
      5   3  1     5  -3   0     0.050342     0.00000033
      5  -3  1     5   3   0     0.050286     0.00000033
      5   4  1     5   4   0     0.052074     0.00000033
      5   5  1     5   5   0     0.054430     0.00000033
      6   2  1     6   2   0     0.047215     0.00000033
      6  -3  1     6   3   0     0.048302     0.00000033
      6   3  1     6  -3   0     0.048471     0.00000033
      6   4  1     6   4   0     0.050077     0.00000033
      6   5  1     6   5   0     0.052338     0.00000033
      6   6  1     6   6   0     0.055245     0.00000033
      7   2  1     7   2   0     0.045119     0.00000033
      7   3  1     7  -3   0     0.046446     0.00000033
      7  -3  1     7   3   0     0.046026     0.00000033
      7   4  1     7   4   0     0.047848     0.00000033
      7   5  1     7   5   0     0.050005     0.00000033
      7   6  1     7   6   0     0.052777     0.00000033
      7   7  1     7   7   0     0.056255     0.00000033
      8  -3  1     8   3   0     0.043443     0.00000033
      8   4  1     8   4   0     0.045430     0.00000033
      8   5  1     8   5   0     0.047473     0.00000033
      8   6  1     8   6   0     0.050098     0.00000033
      8   7  1     8   7   0     0.053392     0.00000033
      8   8  1     8   8   0     0.057469     0.00000033
      9   5  1     9   5   0     0.044786     0.00000033
      9   6  1     9   6   0     0.047257     0.00000033
      9   7  1     9   7   0     0.050356     0.00000033
      9   8  1     9   8   0     0.054191     0.00000033
      9   9  1     9   9   0     0.058898     0.00000033
     10   6  1    10   6   0     0.044298     0.00000033
     10   7  1    10   7   0     0.047196     0.00000033
     10   8  1    10   8   0     0.050780     0.00000033
     10   9  1    10   9   0     0.055178     0.00000033
     10  10  1    10  10   0     0.060556     0.00000033
     11   7  1    11   7   0     0.043961     0.00000033
     11   8  1    11   8   0     0.047289     0.00000033
     11   9  1    11   9   0     0.051373     0.00000033
     11  10  1    11  10   0     0.056363     0.00000033
     11  11  1    11  11   0     0.062457     0.00000033
     12   8  1    12   8   0     0.043768     0.00000033
     12   9  1    12   9   0     0.047536     0.00000033
     12  10  1    12  10   0     0.052139     0.00000033
     12  11  1    12  11   0     0.057757     0.00000033
     12  12  1    12  12   0     0.064620     0.00000033
     13   9  1    13   9   0     0.043720     0.00000033
     13  10  1    13  10   0     0.047939     0.00000033
     13  11  1    13  11   0     0.053086     0.00000033
     13  12  1    13  12   0     0.059370     0.00000033
     13  13  1    13  13   0     0.067065     0.00000033
     14  10  1    14  10   0     0.043812     0.00000067
     14  11  1    14  11   0     0.048499     0.00000033
     14  12  1    14  12   0     0.054219     0.00000033
     14  13  1    14  13   0     0.061218     0.00000033
     14  14  1    14  14   0     0.069817     0.00000033
     15  12  1    15  12   0     0.049221     0.00000033
     15  13  1    15  13   0     0.055550     0.00000033
     15  14  1    15  14   0     0.063318     0.00000033
     15  15  1    15  15   0     0.072902     0.00000033
     16  15  1    16  15   0     0.065687     0.00000033
     16  16  1    16  16   0     0.076350     0.00000033
     17  15  1    17  15   0     0.058847     0.00000033
     17  16  1    17  16   0     0.068351     0.00000067
     17  17  1    17  17   0     0.080196     0.00000033
     18  17  1    18  17   0     0.071330     0.00000067
     18  18  1    18  18   0     0.084481     0.00000033
     19  18  1    19  18   0     0.074656     0.00000067
      1   0  0     0   0   1    10.231635     0.00000667
      1   0  1     0   0   0    10.337468     0.00000334
      2   0  0     1   0   1    20.511972     0.00000667
      2   0  1     1   0   0    20.616764     0.00000834
      2   1  0     1   1   1    20.513109     0.00000667
      2   1  1     1   1   0    20.618426     0.00000667
      3   2  0     2   2   1    30.790730     0.00025000
      3   2  1     2   2   0    30.895450     0.00025000
      4   2  0     3   2   1    41.050160     0.00025000
      4   2  1     3   2   0    41.153220     0.00025000
      4   3  0     3   3   1    41.063430     0.00025000
      4  -3  1     3  -3   0    41.168650     0.00025000
