   OBS/CM-1     UNC/CM-1 JU  KU  U  JL  KL  L   Source
   0.053004 6.700000e-07  1   1  1   1   1  0 23CaDiFu.1
   0.052315 6.700000e-07  2   1  1   2   1  0 23CaDiFu.2
   0.053093 3.300000e-07  2   2  1   2   2  0 23CaDiFu.3
   0.051299 6.700000e-07  3   1  1   3   1  0 23CaDiFu.4
   0.052062 3.300000e-07  3   2  1   3   2  0 23CaDiFu.5
   0.053358 3.300000e-07  3  -3  1   3   3  0 23CaDiFu.6
   0.053360 3.300000e-07  3   3  1   3  -3  0 23CaDiFu.7
   0.049977 6.700000e-07  4   1  1   4   1  0 23CaDiFu.8
   0.050720 3.300000e-07  4   2  1   4   2  0 23CaDiFu.9
   0.051989 3.300000e-07  4   3  1   4  -3  0 23CaDiFu.10
   0.051975 3.300000e-07  4  -3  1   4   3  0 23CaDiFu.11
   0.053804 3.300000e-07  4   4  1   4   4  0 23CaDiFu.12
   0.049093 3.300000e-07  5   2  1   5   2  0 23CaDiFu.13
   0.050342 3.300000e-07  5   3  1   5  -3  0 23CaDiFu.14
   0.050286 3.300000e-07  5  -3  1   5   3  0 23CaDiFu.15
   0.052074 3.300000e-07  5   4  1   5   4  0 23CaDiFu.16
   0.054430 3.300000e-07  5   5  1   5   5  0 23CaDiFu.17
   0.047215 3.300000e-07  6   2  1   6   2  0 23CaDiFu.18
   0.048302 3.300000e-07  6  -3  1   6   3  0 23CaDiFu.19
   0.048471 3.300000e-07  6   3  1   6  -3  0 23CaDiFu.20
   0.050077 3.300000e-07  6   4  1   6   4  0 23CaDiFu.21
   0.052338 3.300000e-07  6   5  1   6   5  0 23CaDiFu.22
   0.055245 3.300000e-07  6   6  1   6   6  0 23CaDiFu.23
   0.045119 3.300000e-07  7   2  1   7   2  0 23CaDiFu.24
   0.046446 3.300000e-07  7   3  1   7  -3  0 23CaDiFu.25
   0.046026 3.300000e-07  7  -3  1   7   3  0 23CaDiFu.26
   0.047848 3.300000e-07  7   4  1   7   4  0 23CaDiFu.27
   0.050005 3.300000e-07  7   5  1   7   5  0 23CaDiFu.28
   0.052777 3.300000e-07  7   6  1   7   6  0 23CaDiFu.29
   0.056255 3.300000e-07  7   7  1   7   7  0 23CaDiFu.30
   0.043443 3.300000e-07  8  -3  1   8   3  0 23CaDiFu.31
   0.045430 3.300000e-07  8   4  1   8   4  0 23CaDiFu.32
   0.047473 3.300000e-07  8   5  1   8   5  0 23CaDiFu.33
   0.050098 3.300000e-07  8   6  1   8   6  0 23CaDiFu.34
   0.053392 3.300000e-07  8   7  1   8   7  0 23CaDiFu.35
   0.057469 3.300000e-07  8   8  1   8   8  0 23CaDiFu.36
   0.044786 3.300000e-07  9   5  1   9   5  0 23CaDiFu.37
   0.047257 3.300000e-07  9   6  1   9   6  0 23CaDiFu.38
   0.050356 3.300000e-07  9   7  1   9   7  0 23CaDiFu.39
   0.054191 3.300000e-07  9   8  1   9   8  0 23CaDiFu.40
   0.058898 3.300000e-07  9   9  1   9   9  0 23CaDiFu.41
   0.044298 3.300000e-07 10   6  1  10   6  0 23CaDiFu.42
   0.047196 3.300000e-07 10   7  1  10   7  0 23CaDiFu.43
   0.050780 3.300000e-07 10   8  1  10   8  0 23CaDiFu.44
   0.055178 3.300000e-07 10   9  1  10   9  0 23CaDiFu.45
   0.060556 3.300000e-07 10  10  1  10  10  0 23CaDiFu.46
   0.043961 3.300000e-07 11   7  1  11   7  0 23CaDiFu.47
   0.047289 3.300000e-07 11   8  1  11   8  0 23CaDiFu.48
   0.051373 3.300000e-07 11   9  1  11   9  0 23CaDiFu.49
   0.056363 3.300000e-07 11  10  1  11  10  0 23CaDiFu.50
   0.062457 3.300000e-07 11  11  1  11  11  0 23CaDiFu.51
   0.043768 3.300000e-07 12   8  1  12   8  0 23CaDiFu.52
   0.047536 3.300000e-07 12   9  1  12   9  0 23CaDiFu.53
   0.052139 3.300000e-07 12  10  1  12  10  0 23CaDiFu.54
   0.057757 3.300000e-07 12  11  1  12  11  0 23CaDiFu.55
   0.064620 3.300000e-07 12  12  1  12  12  0 23CaDiFu.56
   0.043720 3.300000e-07 13   9  1  13   9  0 23CaDiFu.57
   0.047939 3.300000e-07 13  10  1  13  10  0 23CaDiFu.58
   0.053086 3.300000e-07 13  11  1  13  11  0 23CaDiFu.59
   0.059370 3.300000e-07 13  12  1  13  12  0 23CaDiFu.60
   0.067065 3.300000e-07 13  13  1  13  13  0 23CaDiFu.61
   0.043812 6.700000e-07 14  10  1  14  10  0 23CaDiFu.62
   0.048499 3.300000e-07 14  11  1  14  11  0 23CaDiFu.63
   0.054219 3.300000e-07 14  12  1  14  12  0 23CaDiFu.64
   0.061218 3.300000e-07 14  13  1  14  13  0 23CaDiFu.65
   0.069817 3.300000e-07 14  14  1  14  14  0 23CaDiFu.66
   0.049221 3.300000e-07 15  12  1  15  12  0 23CaDiFu.67
   0.055550 3.300000e-07 15  13  1  15  13  0 23CaDiFu.68
   0.063318 3.300000e-07 15  14  1  15  14  0 23CaDiFu.69
   0.072902 3.300000e-07 15  15  1  15  15  0 23CaDiFu.70
   0.065687 3.300000e-07 16  15  1  16  15  0 23CaDiFu.71
   0.076350 3.300000e-07 16  16  1  16  16  0 23CaDiFu.72
   0.058847 3.300000e-07 17  15  1  17  15  0 23CaDiFu.73
   0.068351 6.700000e-07 17  16  1  17  16  0 23CaDiFu.74
   0.080196 3.300000e-07 17  17  1  17  17  0 23CaDiFu.75
   0.071330 6.700000e-07 18  17  1  18  17  0 23CaDiFu.76
   0.084481 3.300000e-07 18  18  1  18  18  0 23CaDiFu.77
   0.074656 6.700000e-07 19  18  1  19  18  0 23CaDiFu.78
  10.231635 6.670000e-06  1   0  0   0   0  1 23CaDiFu.79
  10.337468 3.340000e-06  1   0  1   0   0  0 23CaDiFu.80
  20.511972 6.670000e-06  2   0  0   1   0  1 23CaDiFu.81
  20.616764 8.340000e-06  2   0  1   1   0  0 23CaDiFu.82
  20.513109 6.670000e-06  2   1  0   1   1  1 23CaDiFu.83
  20.618426 6.670000e-06  2   1  1   1   1  0 23CaDiFu.84
  30.790730 2.500000e-04  3   2  0   2   2  1 23CaDiFu.85
  30.895450 2.500000e-04  3   2  1   2   2  0 23CaDiFu.86
  41.050160 2.500000e-04  4   2  0   3   2  1 23CaDiFu.87
  41.153220 2.500000e-04  4   2  1   3   2  0 23CaDiFu.88
  41.063430 2.500000e-04  4   3  0   3   3  1 23CaDiFu.89
  41.168650 2.500000e-04  4  -3  1   3  -3  0 23CaDiFu.90
  51.377210 2.500000e-04  5   0  1   4   0  0 23CaDiFu.91
  51.282560 2.500000e-04  5   1  0   4   1  1 23CaDiFu.92
  51.380870 2.500000e-04  5   1  1   4   1  0 23CaDiFu.93
  51.292190 2.500000e-04  5   2  0   4   2  1 23CaDiFu.94
  51.392420 2.500000e-04  5   2  1   4   2  0 23CaDiFu.95
  51.308390 2.500000e-04  5  -3  0   4  -3  1 23CaDiFu.96
  69.329198 1.000000e-04  5   0  1   4  -3  1 23CaDiFu.97
  51.410770 2.500000e-04  5   3  1   4   3  0 23CaDiFu.98
  51.331180 2.500000e-04  5   4  0   4   4  1 23CaDiFu.99
  51.436760 2.500000e-04  5   4  1   4   4  0 23CaDiFu.100
  61.590016 1.000000e-04  6   0  1   5   0  0 23CaDiFu.101
  61.495846 1.000000e-04  6   0  0   5   0  1 23CaDiFu.102
  61.499368 1.000000e-04  6   1  0   5   1  1 23CaDiFu.103
  61.594632 1.000000e-04  6   1  1   5   1  0 23CaDiFu.104
  61.511304 1.000000e-04  6   2  0   5   2  1 23CaDiFu.105
  61.607502 1.000000e-04  6   2  1   5   2  0 23CaDiFu.106
  67.534699 1.000000e-04  6   1  0   5   2  0 23CaDiFu.107
  67.532508 1.000000e-04  6   1  1   5   2  1 23CaDiFu.108
  61.629587 1.000000e-04  6  -3  1   5  -3  0 23CaDiFu.109
  61.629587 1.000000e-03  6   3  1   5   3  0 23CaDiFu.110
  61.530466 1.000000e-04  6   3  0   5   3  1 23CaDiFu.111
  61.530466 1.000000e-03  6  -3  0   5  -3  1 23CaDiFu.112
  61.557567 1.000000e-03  6   4  0   5   4  1 23CaDiFu.113
  61.660049 1.000000e-04  6   4  1   5   4  0 23CaDiFu.114
  61.593254 1.000000e-04  6   5  0   5   5  1 23CaDiFu.115
  61.699853 1.000000e-04  6   5  1   5   5  0 23CaDiFu.116
  71.774574 1.000000e-04  7   0  1   6   0  0 23CaDiFu.117
  71.684302 1.000000e-04  7   0  0   6   0  1 23CaDiFu.118
  71.688557 1.000000e-04  7   1  0   6   1  1 23CaDiFu.119
  71.779665 1.000000e-04  7   1  1   6   1  0 23CaDiFu.120
  77.707202 1.000000e-03  7   1  1   6   2  1 23CaDiFu.121
  71.702205 1.000000e-04  7   2  0   6   2  1 23CaDiFu.122
  71.794709 1.000000e-04  7   2  1   6   2  0 23CaDiFu.123
  71.819734 1.000000e-03  7  -3  1   6  -3  0 23CaDiFu.124
  71.819734 1.000000e-04  7   3  1   6   3  0 23CaDiFu.125
  71.725071 1.000000e-04  7  -3  0   6  -3  1 23CaDiFu.126
  71.725071 1.000000e-03  7   3  0   6   3  1 23CaDiFu.127
  71.855122 1.000000e-04  7   4  1   6   4  0 23CaDiFu.128
  71.756893 1.000000e-03  7   4  0   6   4  1 23CaDiFu.129
 113.708226 1.000000e-04  7   2  1   6   5  1 23CaDiFu.130
  71.900880 1.000000e-03  7   5  1   6   5  0 23CaDiFu.131
  71.798355 1.000000e-04  7   5  0   6   5  1 23CaDiFu.132
  71.956844 1.000000e-04  7   6  1   6   6  0 23CaDiFu.133
  71.848980 1.000000e-04  7   6  0   6   6  1 23CaDiFu.134
  81.840612 1.000000e-04  8   0  0   7   0  1 23CaDiFu.135
  81.927245 1.000000e-04  8   0  1   7   0  0 23CaDiFu.136
  81.846057 1.000000e-04  8   1  0   7   1  1 23CaDiFu.137
  81.932358 1.000000e-04  8   1  1   7   1  0 23CaDiFu.138
  81.861578 1.000000e-03  8   2  0   7   2  1 23CaDiFu.139
  81.949363 1.000000e-04  8   2  1   7   2  0 23CaDiFu.140
  81.887624 1.000000e-04  8   3  0   7   3  1 23CaDiFu.141
  99.777064 1.000000e-04  8   0  0   7  -3  0 23CaDiFu.142
  81.977889 1.000000e-04  8  -3  1   7  -3  0 23CaDiFu.143
  81.977889 1.000000e-03  8   3  1   7   3  0 23CaDiFu.144
  81.887624 1.000000e-03  8  -3  0   7  -3  1 23CaDiFu.145
  82.017741 1.000000e-04  8   4  1   7   4  0 23CaDiFu.146
  81.924025 1.000000e-03  8   4  0   7   4  1 23CaDiFu.147
  82.069160 1.000000e-03  8   5  1   7   5  0 23CaDiFu.148
  81.971440 1.000000e-04  8   5  0   7   5  1 23CaDiFu.149
  82.132079 1.000000e-04  8   6  1   7   6  0 23CaDiFu.150
  82.029171 1.000000e-04  8   6  0   7   6  1 23CaDiFu.151
  82.207997 1.000000e-04  8   7  1   7   7  0 23CaDiFu.152
  82.097921 1.000000e-03  8   7  0   7   7  1 23CaDiFu.153
  92.042722 1.000000e-04  9   0  1   8   0  0 23CaDiFu.154
  91.960794 1.000000e-04  9   0  0   8   0  1 23CaDiFu.155
  91.966936 1.000000e-04  9   1  0   8   1  1 23CaDiFu.156
  92.048947 1.000000e-04  9   1  1   8   1  0 23CaDiFu.157
  91.984481 1.000000e-04  9   2  0   8   2  1 23CaDiFu.158
  92.067796 1.000000e-04  9   2  1   8   2  0 23CaDiFu.159
  92.013695 1.000000e-03  9   3  0   8   3  1 23CaDiFu.160
  92.013695 1.000000e-04  9  -3  0   8  -3  1 23CaDiFu.161
  92.099210 1.000000e-04  9   3  1   8   3  0 23CaDiFu.162
  92.099210 1.000000e-03  9  -3  1   8  -3  0 23CaDiFu.163
  92.143128 1.000000e-04  9   4  1   8   4  0 23CaDiFu.164
  92.054902 1.000000e-04  9   4  0   8   4  1 23CaDiFu.165
  92.200237 1.000000e-04  9   5  1   8   5  0 23CaDiFu.166
  92.107969 1.000000e-04  9   5  0   8   5  1 23CaDiFu.167
  92.173025 1.000000e-04  9   6  0   8   6  1 23CaDiFu.168
  92.270414 1.000000e-04  9   6  1   8   6  0 23CaDiFu.169
  92.250438 1.000000e-04  9   7  0   8   7  1 23CaDiFu.170
  92.354040 1.000000e-04  9   7  1   8   7  0 23CaDiFu.171
  92.340117 1.000000e-04  9   8  0   8   8  1 23CaDiFu.172
