THE LIST CONTAINS THE EXPERIMENTAL TRANSITIONS ASSIGNED IN THE GROUND STATE OF 14ND3 FROM THE LITERATURE ( MW TRANSITIONS) AND
FROM THE NEW ASSIGNMENTS OF THE FIR SPECTRA RECENTLY RECORDED ( SEE https://doi.org/10.1016/j.jms.2023.111797 ).
IN THE HEADINGS OF COLUMNS 1-4 THE LETTER U AND L MEAN UPPER AND LOWER, RESPECTIVELY.
IN COLUMNS 5 AND 6 ARE INDICATED THE SYMMETRY WITH RESPECT THE INVERSION
MOTION. 1 CORRESPONDS TO ANTISYMMETRIC WHILE 0 TO SYMMETRIC WITH RESPECT THE INVERSION.
THE CALCULATED VALUE OF TRANSITIONS ARE OBTAINED FROM THE SPECTROSCOPIC FITTING PROCEDURE.
THE K=-3 LEVEL IS THAT AT LOWER ENERGY IN THE K=+,- 3 DOUBLET.

14ND3 MW transitions assigned in the ground state 

     JU  KU     JL  KL    U L     OBS/CM-1    CALC/CM-1    OBS-CALC      WEIGHT         OBS/MHZ        CALC/MHZ    OBS-CALC      UNC/CM-1

      1   1      1   1    1 0     0.053004     0.053003    0.000000   0.225E+13        1589.006        1588.999       0.007     0.00000067
      2   1      2   1    1 0     0.052315     0.052314    0.000000   0.225E+13        1568.357        1568.345       0.012     0.00000067
      2   2      2   2    1 0     0.053093     0.053093    0.000000   0.899E+13        1591.695        1591.693       0.002     0.00000033
      3   1      3   1    1 0     0.051299     0.051299    0.000001   0.225E+13        1537.915        1537.896       0.019     0.00000067
      3   2      3   2    1 0     0.052062     0.052062    0.000000   0.899E+13        1560.774        1560.772       0.002     0.00000033
      3  -3      3   3    1 0     0.053358     0.053358    0.000000   0.899E+13        1599.645        1599.641       0.004     0.00000033
      3   3      3  -3    1 0     0.053360     0.053360    0.000000   0.899E+13        1599.704        1599.702       0.002     0.00000033
      4   1      4   1    1 0     0.049977     0.049977    0.000000   0.225E+13        1498.270        1498.274      -0.004     0.00000067
      4   2      4   2    1 0     0.050720     0.050720    0.000000   0.899E+13        1520.537        1520.534       0.003     0.00000033
      4   3      4  -3    1 0     0.051989     0.051989    0.000000   0.899E+13        1558.600        1558.599       0.001     0.00000033
      4  -3      4   3    1 0     0.051975     0.051975    0.000000   0.899E+13        1558.178        1558.174       0.004     0.00000033
      4   4      4   4    1 0     0.053804     0.053804    0.000000   0.899E+13        1612.997        1613.000      -0.003     0.00000033
      5   2      5   2    1 0     0.049093     0.049093    0.000000   0.899E+13        1471.785        1471.781       0.004     0.00000033
      5   3      5  -3    1 0     0.050342     0.050342    0.000000   0.899E+13        1509.218        1509.214       0.004     0.00000033
      5  -3      5   3    1 0     0.050286     0.050285    0.000000   0.899E+13        1507.525        1507.519       0.006     0.00000033
      5   4      5   4    1 0     0.052074     0.052074    0.000000   0.899E+13        1561.146        1561.150      -0.004     0.00000033
      5   5      5   5    1 0     0.054430     0.054431    0.000000   0.899E+13        1631.784        1631.793      -0.009     0.00000033
      6   2      6   2    1 0     0.047215     0.047215    0.000000   0.899E+13        1415.462        1415.461       0.001     0.00000033
      6  -3      6   3    1 0     0.048302     0.048302    0.000000   0.899E+13        1448.056        1448.054       0.002     0.00000033
      6   3      6  -3    1 0     0.048471     0.048471    0.000000   0.899E+13        1453.125        1453.117       0.008     0.00000033
      6   4      6   4    1 0     0.050077     0.050077    0.000000   0.899E+13        1501.260        1501.260       0.000     0.00000033
      6   5      6   5    1 0     0.052338     0.052339    0.000000   0.899E+13        1569.063        1569.074      -0.011     0.00000033
      6   6      6   6    1 0     0.055245     0.055245    0.000000   0.899E+13        1656.201        1656.216      -0.015     0.00000033
      7   2      7   2    1 0     0.045119     0.045119    0.000000   0.899E+13        1352.623        1352.629      -0.006     0.00000033
      7   3      7  -3    1 0     0.046446     0.046446    0.000000   0.899E+13        1392.420        1392.427      -0.007     0.00000033
      7  -3      7   3    1 0     0.046026     0.046026    0.000000   0.899E+13        1379.825        1379.832      -0.007     0.00000033
      7   4      7   4    1 0     0.047848     0.047848    0.000000   0.899E+13        1434.448        1434.456      -0.008     0.00000033
      7   5      7   5    1 0     0.050005     0.050005    0.000000   0.899E+13        1499.122        1499.124      -0.002     0.00000033
      7   6      7   6    1 0     0.052777     0.052777    0.000000   0.899E+13        1582.208        1582.213      -0.005     0.00000033
      7   7      7   7    1 0     0.056255     0.056255    0.000000   0.899E+13        1686.481        1686.485      -0.004     0.00000033
      8  -3      8   3    1 0     0.043443     0.043443    0.000000   0.899E+13        1302.384        1302.387      -0.003     0.00000033
      8   4      8   4    1 0     0.045430     0.045430    0.000000   0.899E+13        1361.947        1361.949      -0.002     0.00000033
      8   5      8   5    1 0     0.047473     0.047473    0.000000   0.899E+13        1423.215        1423.212       0.003     0.00000033
      8   6      8   6    1 0     0.050098     0.050099    0.000000   0.899E+13        1501.915        1501.917      -0.002     0.00000033
      8   7      8   7    1 0     0.053392     0.053393    0.000000   0.899E+13        1600.665        1600.672      -0.007     0.00000033
      8   8      8   8    1 0     0.057469     0.057469    0.000000   0.899E+13        1722.874        1722.874       0.000     0.00000033
      9   5      9   5    1 0     0.044786     0.044786    0.000000   0.899E+13        1342.649        1342.652      -0.003     0.00000033
      9   6      9   6    1 0     0.047257     0.047257    0.000000   0.899E+13        1416.725        1416.722       0.003     0.00000033
      9   7      9   7    1 0     0.050356     0.050356    0.000000   0.899E+13        1509.647        1509.642       0.005     0.00000033
      9   8      9   8    1 0     0.054191     0.054191    0.000000   0.899E+13        1624.601        1624.601       0.000     0.00000033
      9   9      9   9    1 0     0.058898     0.058898    0.000000   0.899E+13        1765.710        1765.715      -0.005     0.00000033
     10   6     10   6    1 0     0.044298     0.044298    0.000000   0.899E+13        1328.033        1328.023       0.010     0.00000033
     10   7     10   7    1 0     0.047196     0.047196    0.000000   0.899E+13        1414.898        1414.896       0.002     0.00000033
     10   8     10   8    1 0     0.050780     0.050780    0.000000   0.899E+13        1522.348        1522.345       0.003     0.00000033
     10   9     10   9    1 0     0.055178     0.055178    0.000000   0.899E+13        1654.203        1654.203       0.000     0.00000033
     10  10     10  10    1 0     0.060556     0.060555    0.000000   0.899E+13        1815.415        1815.403       0.012     0.00000033
     11   7     11   7    1 0     0.043961     0.043960    0.000000   0.899E+13        1317.903        1317.893       0.010     0.00000033
     11   8     11   8    1 0     0.047289     0.047289    0.000000   0.899E+13        1417.696        1417.691       0.005     0.00000033
     11   9     11   9    1 0     0.051373     0.051373    0.000000   0.899E+13        1540.126        1540.118       0.008     0.00000033
     11  10     11  10    1 0     0.056363     0.056363    0.000000   0.899E+13        1689.735        1689.733       0.002     0.00000033
     11  11     11  11    1 0     0.062457     0.062457    0.000000   0.899E+13        1872.404        1872.401       0.003     0.00000033
     12   8     12   8    1 0     0.043768     0.043768    0.000000   0.899E+13        1312.143        1312.139       0.004     0.00000033
     12   9     12   9    1 0     0.047536     0.047536    0.000000   0.899E+13        1425.106        1425.105       0.001     0.00000033
     12  10     12  10    1 0     0.052139     0.052139    0.000000   0.899E+13        1563.097        1563.097       0.000     0.00000033
     12  11     12  11    1 0     0.057757     0.057757    0.000000   0.899E+13        1731.498        1731.500      -0.002     0.00000033
     12  12     12  12    1 0     0.064620     0.064620    0.000001   0.899E+13        1937.264        1937.248       0.016     0.00000033
     13   9     13   9    1 0     0.043720     0.043720    0.000000   0.899E+13        1310.679        1310.678       0.001     0.00000033
     13  10     13  10    1 0     0.047939     0.047939    0.000000   0.899E+13        1437.179        1437.176       0.003     0.00000033
     13  11     13  11    1 0     0.053086     0.053086    0.000000   0.899E+13        1591.473        1591.464       0.009     0.00000033
     13  12     13  12    1 0     0.059370     0.059370    0.000000   0.899E+13        1779.869        1779.872      -0.003     0.00000033
     13  13     13  13    1 0     0.067065     0.067065    0.000000   0.899E+13        2010.571        2010.564       0.007     0.00000033
     14  10     14  10    1 0     0.043812     0.043813   -0.000001   0.225E+13        1313.439        1313.468      -0.029     0.00000067
     14  11     14  11    1 0     0.048499     0.048500   -0.000001   0.899E+13        1453.961        1453.979      -0.018     0.00000033
     14  12     14  12    1 0     0.054219     0.054219    0.000000   0.899E+13        1625.448        1625.448       0.000     0.00000033
     14  13     14  13    1 0     0.061218     0.061218    0.000000   0.899E+13        1835.272        1835.281      -0.009     0.00000033
     14  14     14  14    1 0     0.069817     0.069817    0.000000   0.899E+13        2093.063        2093.059       0.004     0.00000033
     15  12     15  12    1 0     0.049221     0.049222   -0.000001   0.899E+13        1475.608        1475.630      -0.022     0.00000033
     15  13     15  13    1 0     0.055550     0.055549    0.000000   0.899E+13        1665.334        1665.325       0.009     0.00000033
     15  14     15  14    1 0     0.063318     0.063318    0.000000   0.899E+13        1898.225        1898.226      -0.001     0.00000033
     15  15     15  15    1 0     0.072902     0.072902    0.000000   0.899E+13        2185.535        2185.538      -0.003     0.00000033
     16  15     16  15    1 0     0.065687     0.065688   -0.000001   0.899E+13        1969.261        1969.281      -0.020     0.00000033
     16  16     16  16    1 0     0.076350     0.076350    0.000000   0.899E+13        2288.905        2288.917      -0.012     0.00000033
     17  15     17  15    1 0     0.058847     0.058845    0.000002   0.899E+13        1764.176        1764.131       0.045     0.00000033
     17  16     17  16    1 0     0.068351     0.068351    0.000000   0.225E+13        2049.100        2049.105      -0.005     0.00000067
     17  17     17  17    1 0     0.080196     0.080196   -0.000001   0.899E+13        2404.215        2404.230      -0.015     0.00000033
     18  17     18  17    1 0     0.071330     0.071331   -0.000001   0.225E+13        2138.421        2138.449      -0.028     0.00000067
     18  18     18  18    1 0     0.084481     0.084480    0.000001   0.899E+13        2532.673        2532.645       0.028     0.00000033
     19  18     19  18    1 0     0.074656     0.074657   -0.000001   0.225E+13        2238.130        2238.167      -0.037     0.00000067

14ND3 FIR transitions assigned in the ground state

     JU  KU     JL  KL    U L     OBS/CM-1    CALC/CM-1    OBS-CALC      WEIGHT         OBS/MHZ        CALC/MHZ    OBS-CALC      UNC/CM-1

      1   0      0   0    0 1    10.231635    10.231630    0.000006   0.225E+11      306736.710      306736.543       0.167     0.00000667
      1   0      0   0    1 0    10.337468    10.337462    0.000006   0.899E+11      309909.490      309909.302       0.188     0.00000334
      2   0      1   0    0 1    20.511972    20.511967    0.000006   0.225E+11      614933.460      614933.294       0.166     0.00000667
      2   0      1   0    1 0    20.616764    20.616767   -0.000003   0.144E+11      618075.040      618075.122      -0.082     0.00000834
      2   1      1   1    0 1    20.513109    20.513102    0.000007   0.225E+11      614967.540      614967.342       0.198     0.00000667
      2   1      1   1    1 0    20.618426    20.618420    0.000006   0.225E+11      618124.860      618124.685       0.175     0.00000667
      3   2      2   2    0 1    30.790730    30.790533    0.000197   0.160E+08      923082.863      923076.948       5.915     0.00025000
      3   2      2   2    1 0    30.895450    30.895688   -0.000238   0.160E+08      926222.290      926229.413      -7.124     0.00025000
      4   2      3   2    0 1    41.050160    41.050751   -0.000591   0.160E+08     1230652.837     1230670.562     -17.725     0.00025000
      4   2      3   2    1 0    41.153220    41.153533   -0.000313   0.160E+08     1233742.498     1233751.867      -9.370     0.00025000
      4   3      3   3    0 1    41.063430    41.063386    0.000044   0.160E+08     1231050.661     1231049.351       1.310     0.00025000
      4  -3      3  -3    1 0    41.168650    41.168722   -0.000072   0.160E+08     1234205.078     1234207.227      -2.149     0.00025000
      5   0      4   0    1 0    51.377210    51.377540   -0.000330   0.160E+08     1540250.007     1540259.904      -9.897     0.00025000
      5   1      4   1    0 1    51.282560    51.282878   -0.000318   0.160E+08     1537412.471     1537422.013      -9.541     0.00025000
      5   1      4   1    1 0    51.380870    51.381231   -0.000361   0.160E+08     1540359.731     1540370.552     -10.821     0.00025000
      5   2      4   2    0 1    51.292190    51.292510   -0.000320   0.160E+08     1537701.172     1537710.776      -9.604     0.00025000
      5   2      4   2    1 0    51.392420    51.392323    0.000097   0.160E+08     1540705.991     1540703.091       2.901     0.00025000
      5  -3      4  -3    0 1    51.308390    51.308570   -0.000180   0.160E+08     1538186.835     1538192.246      -5.411     0.00025000
